userAgent,Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SCH-I510 4G Build/EP4) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1
language,en
name,Samsung 4g Google 

sprites,Static <img>,CSS3 2D transforms with <img>,Scale,55.122012578616356,8.09182389937107
sprites,Static <img>,CSS3 2D transforms with <img>,Translate,12.425628742514968,2.8085429141716562
sprites,Static <img>,CSS3 2D transforms with <img>,Rotate,353.02557213930345,54.19651741293532
sprites,Static <img>,CSS3 3D transforms with <img>,Scale,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with <img>,Translate,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with <img>,Rotate,N/A,N/A
sprites,Static <img>,CSS3 2D transforms with CSS backgrounds,Scale,137.62465208747514,7.1249834327369115
sprites,Static <img>,CSS3 2D transforms with CSS backgrounds,Translate,25.584287848605577,2.9406125498007967
sprites,Static <img>,CSS3 2D transforms with CSS backgrounds,Rotate,18.295550603242916,2.6591101206485828
sprites,Static <img>,CSS3 3D transforms with CSS backgrounds,Scale,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with CSS backgrounds,Translate,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with CSS backgrounds,Rotate,N/A,N/A
sprites,Static <img>,CSSMatrix transforms with <img>,Scale,62.90964912280702,7.090350877192982
sprites,Static <img>,CSSMatrix transforms with <img>,Translate,6.97941616766467,2.9794161676646707
sprites,Static <img>,CSSMatrix transforms with <img>,Rotate,9.540028631208017,2.5400286312080174
sprites,Static <img>,Canvas drawImage, full clear,Scale,937.3054448871181,6.4664674634794155
sprites,Static <img>,Canvas drawImage, full clear,Translate,924.796812749004,6.623505976095618
sprites,Static <img>,Canvas drawImage, full clear,Rotate,1401.9579023770639,7.220831065142442
sprites,Static <img>,Canvas drawImage, full clear, pixel aligned,Scale,N/A,N/A
sprites,Static <img>,Canvas drawImage, full clear, pixel aligned,Translate,764.7248677248677,6.394179894179895
sprites,Static <img>,Canvas drawImage, full clear, pixel aligned,Rotate,N/A,N/A
sprites,Static <img>,Canvas drawImage, partial clear,Scale,213.49539666993144,2.2618609206660136
sprites,Static <img>,Canvas drawImage, partial clear,Translate,171.14129353233827,4.915920398009949
sprites,Static <img>,Canvas drawImage, partial clear,Rotate,845.4006659267478,4.726970033296336
sprites,Static <img>,Canvas drawImage, partial clear, pixel aligned,Scale,N/A,N/A
sprites,Static <img>,Canvas drawImage, partial clear, pixel aligned,Translate,266.4296875,5.184895833333334
sprites,Static <img>,Canvas drawImage, partial clear, pixel aligned,Rotate,N/A,N/A
sprites,Animated sprite sheet,CSS3 2D transforms with <img>,Scale,31.724925521350535,3.3406156901688173
sprites,Animated sprite sheet,CSS3 2D transforms with <img>,Translate,11.416616816218013,5.416616816218012
sprites,Animated sprite sheet,CSS3 2D transforms with <img>,Rotate,56.31200000000001,3.1360000000000006
sprites,Animated sprite sheet,CSS3 3D transforms with <img>,Scale,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with <img>,Translate,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with <img>,Rotate,N/A,N/A
sprites,Animated sprite sheet,CSS3 2D transforms with CSS backgrounds,Scale,159.64065335753176,8.09709618874773
sprites,Animated sprite sheet,CSS3 2D transforms with CSS backgrounds,Translate,34.85989010989012,2.9872627372627374
sprites,Animated sprite sheet,CSS3 2D transforms with CSS backgrounds,Rotate,14.420131778114149,1.4201317781141483
sprites,Animated sprite sheet,CSS3 3D transforms with CSS backgrounds,Scale,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with CSS backgrounds,Translate,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with CSS backgrounds,Rotate,N/A,N/A
sprites,Animated sprite sheet,CSSMatrix transforms with <img>,Scale,45.28840436075321,3.099108027750247
sprites,Animated sprite sheet,CSSMatrix transforms with <img>,Translate,104.2333000997009,30.697906281156527
sprites,Animated sprite sheet,CSSMatrix transforms with <img>,Rotate,48.43683589138136,3.341295068567797
sprites,Animated sprite sheet,Canvas drawImage, full clear,Scale,358.8113411341134,6.6288028802880286
sprites,Animated sprite sheet,Canvas drawImage, full clear,Translate,524.3293650793651,6.757936507936508
sprites,Animated sprite sheet,Canvas drawImage, full clear,Rotate,966.0593358737071,6.819270549809472
sprites,Animated sprite sheet,Canvas drawImage, full clear, pixel aligned,Scale,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, full clear, pixel aligned,Translate,1172.3715650058566,35.81899270204524
sprites,Animated sprite sheet,Canvas drawImage, full clear, pixel aligned,Rotate,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, partial clear,Scale,112.27030033370413,2.2171099201132574
sprites,Animated sprite sheet,Canvas drawImage, partial clear,Translate,69.19036926147703,5.091566866267464
sprites,Animated sprite sheet,Canvas drawImage, partial clear,Rotate,257.13409144752427,3.5652688936271026
sprites,Animated sprite sheet,Canvas drawImage, partial clear, pixel aligned,Scale,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, partial clear, pixel aligned,Translate,44.211805555555564,5.17311507936508
sprites,Animated sprite sheet,Canvas drawImage, partial clear, pixel aligned,Rotate,N/A,N/A

text,sans-serif,8pt,Solid outline,1145.00
text,sans-serif,8pt,Solid fill,1569.00
text,sans-serif,8pt,Solid fill + outline,372.82
text,sans-serif,10pt,Solid outline,717.00
text,sans-serif,10pt,Solid fill,716.50
text,sans-serif,10pt,Solid fill + outline,370.48
text,sans-serif,12pt,Solid outline,573.00
text,sans-serif,12pt,Solid fill,688.00
text,sans-serif,12pt,Solid fill + outline,326.92
text,sans-serif,14pt,Solid outline,642.00
text,sans-serif,14pt,Solid fill,657.00
text,sans-serif,14pt,Solid fill + outline,315.00
text,sans-serif,16pt,Solid outline,559.00
text,sans-serif,16pt,Solid fill,583.00
text,sans-serif,16pt,Solid fill + outline,231.00
text,sans-serif,24pt,Solid outline,430.00
text,sans-serif,24pt,Solid fill,394.00
text,sans-serif,24pt,Solid fill + outline,190.00
text,serif,8pt,Solid outline,899.00
text,serif,8pt,Solid fill,781.00
text,serif,8pt,Solid fill + outline,376.42
text,serif,10pt,Solid outline,674.00
text,serif,10pt,Solid fill,692.00
text,serif,10pt,Solid fill + outline,340.00
text,serif,12pt,Solid outline,570.00
text,serif,12pt,Solid fill,616.82
text,serif,12pt,Solid fill + outline,318.00
text,serif,14pt,Solid outline,573.00
text,serif,14pt,Solid fill,586.00
text,serif,14pt,Solid fill + outline,298.00
text,serif,16pt,Solid outline,392.00
text,serif,16pt,Solid fill,529.70
text,serif,16pt,Solid fill + outline,279.00
text,serif,24pt,Solid outline,451.00
text,serif,24pt,Solid fill,371.00
text,serif,24pt,Solid fill + outline,170.64
text,monospace,8pt,Solid outline,599.04
text,monospace,8pt,Solid fill,484.87
text,monospace,8pt,Solid fill + outline,386.00
text,monospace,10pt,Solid outline,662.00
text,monospace,10pt,Solid fill,658.88
text,monospace,10pt,Solid fill + outline,373.00
text,monospace,12pt,Solid outline,595.10
text,monospace,12pt,Solid fill,541.74
text,monospace,12pt,Solid fill + outline,302.00
text,monospace,14pt,Solid outline,686.00
text,monospace,14pt,Solid fill,733.00
text,monospace,14pt,Solid fill + outline,281.00
text,monospace,16pt,Solid outline,560.00
text,monospace,16pt,Solid fill,291.00
text,monospace,16pt,Solid fill + outline,274.00
text,monospace,24pt,Solid outline,327.00
text,monospace,24pt,Solid fill,233.66
text,monospace,24pt,Solid fill + outline,132.00

audioLatency,Cold latency (ms),12
audioLatency,Warm latency (ms),7
