browser,pass,coldLatency,warmLatency
Windws 7 Firefox,FALSE,80,0
samsung fit browser,TRUE,2,4
PC7,FALSE,250,0
macOSX Firefox,TRUE,1,1
droidx browser,TRUE,2,4
motorola droid2 browser ,TRUE,1,3
kindle fire,TRUE,0,0
PC7K,FALSE,200,0
Windows 7 Google Chrome,FALSE,251,0
LG P999 Firefox ,TRUE,1,2
droidx firefox,FALSE,202,3
iPhonr 3S Safari,,,
Motorola DROID2 Firefox,FALSE,651,3
firefoxK,TRUE,0,0
Asus TF101 Browser,TRUE,0,1
bbtab,,,
Samsungtab,TRUE,2,4
Whitepadios,,,
IosK,,,
LG P999 Firefox ,TRUE,2,1
iPhone 4s v5.0.1 safari,,,
motorollaxoom,TRUE,1,0
firefoxK,TRUE,0,1
Samsung 4g browser,TRUE,4,7
Asus epad,FALSE,198,0
motorollatabmozilla,TRUE,1,0
Windows 7 Opera,FALSE,200,0
Samsung 4g Google ,TRUE,12,7
BlackBerry Torch Browser,,,
Asus pad,TRUE,0,3
galaxytab,TRUE,3,15
Windows 7 Safari,,,
Virgin mobil LG  browser,,,
MacOsx Safari,FALSE,68,9
MacOSX opera,FALSE,199,0
lgoogle,TRUE,1,4
Sony Ericsson XPERIA Browser,TRUE,0,1
3GStest,,,
Lgvirgin,,,
Blackipad,,,
iPad 4.3 8GB Safari,,,
LG P999 Firefox ,TRUE,0,0
Ipad4.0,,,
iOS 5 Kay ,,,
XPERIA sonyeric opera,FALSE,199,5
Ipad4.0,,,
Lg virgin opera,,,
lg p999 opera,FALSE,199,14
samsung fit opera,FALSE,199,4
samsubg galaxy s2 ffx,TRUE,1,1
MacOSX firefox9,TRUE,0,1
Sony ericsson xperia,TRUE,1,3
Sony Ericsson Xperia Firefox 9,TRUE,1,3
motorola droid2 firefox 9,FALSE,40,3
xzoom ffox 9,TRUE,1,0
asus ffox 9,FALSE,852,2
asus ffox 9,TRUE,1,2
lg optimus g2x,TRUE,1,0
